Source,Target
1520503899714723840,130582940
1520503899714723840,1462742136
1520503899714723840,233649833
1520503899714723840,244720033
1520503899714723840,2189206024
1520503899714723840,1337898143283863552
1520503899714723840,843043011525337088
1520503899714723840,917658392289832960
1520503899714723840,3115089646
1520503899714723840,2571352435
1505569065598861312,130582940
1505569065598861312,808392722801430528
1505569065598861312,1192923082664620033
1505569065598861312,1019414035807252481
1505569065598861312,965249295728422912
1505569065598861312,2571352435
1505569065598861312,415511788
1505569065598861312,107136716
1505569065598861312,2318919882
1505569065598861312,706137904393953280
1505569065598861312,737056555250638848
1281568913269153792,130582940
1281568913269153792,143102417
1281568913269153792,1204884233375944704
1281568913269153792,1378399159997362176
1281568913269153792,2986448621
1281568913269153792,853227984
1281568913269153792,709190031563431936
1281568913269153792,2980844262
1281568913269153792,993490576002703360
1281568913269153792,415511788
888174812094504960,130582940
888174812094504960,1483353837545132040
888174812094504960,1155803038151512064
888174812094504960,1478914747730997248
888174812094504960,1366490955730272512
888174812094504960,1204884233375944704
888174812094504960,1255425094681268224
888174812094504960,3448424537
888174812094504960,82041749
888174812094504960,1069328459250483200
1246923177743220736,130582940
1246923177743220736,320302691
1246923177743220736,761924904518320128
1246923177743220736,106503989
1246923177743220736,2493549979
1246923177743220736,1218855709875548160
1246923177743220736,381742825
1246923177743220736,1462742136
1246923177743220736,698888332953174016
1246923177743220736,30690814
1246923177743220736,2355966264
1246923177743220736,87427851
1246923177743220736,1103975527323443200
1246923177743220736,1019414035807252481
1246923177743220736,504763844
1246923177743220736,432472316
1246923177743220736,78573016
1246923177743220736,702859109
1246923177743220736,299300002
1246923177743220736,367093989
1246923177743220736,2840216009
1246923177743220736,216639700
1246923177743220736,59753785
1246923177743220736,263697071
1246923177743220736,244457277
1077200266930413568,245811561
1077200266930413568,3115089646
1077200266930413568,4405192696
1077200266930413568,993490576002703360
1077200266930413568,4328039002
1077200266930413568,2840216009
1077200266930413568,4164910119
1077200266930413568,216639700
1077200266930413568,3432205816
1077200266930413568,250621001
1077200266930413568,284606564
1076597489195802624,2825319795
1076597489195802624,1029096231254089729
1076597489195802624,1047759056570634240
1076597489195802624,910889394999095296
1076597489195802624,1158868650943811584
1076597489195802624,3461080168
1076597489195802624,1059106601016180736
1076597489195802624,238547567
1076597489195802624,1069607398523002882
1076597489195802624,3448424537
1076597489195802624,910951286341763072
1333362102053036032,17896683
1333362102053036032,14047971
1333362102053036032,20760565
1333362102053036032,220817838
1333362102053036032,1035437066283311105
1333362102053036032,698888332953174016
1333362102053036032,1178268563456610304
1333362102053036032,3543404475
1333362102053036032,44003331
1333362102053036032,4164910119
1224432415462055936,17896683
1224432415462055936,1192923082664620033
1224432415462055936,1667411526
1224432415462055936,1019414035807252481
1224432415462055936,2478916268
1224432415462055936,3129259899
1224432415462055936,3512727555
1224432415462055936,299300002
1224432415462055936,4164910119
1224432415462055936,59753785
1224432415462055936,263697071
1224432415462055936,244457277
1184924173270966272,1523715455638253568
1184924173270966272,266568867
1184924173270966272,1029096231254089729
1184924173270966272,4841444607
1184924173270966272,1035437066283311105
1184924173270966272,896059800907395078
1184924173270966272,2178533216
1184924173270966272,965249295728422912
1184924173270966272,266672226
1184924173270966272,1686433608
1184924173270966272,1894688462
1184924173270966272,415511788
940292815438929921,14651725
940292815438929921,971801298
940292815438929921,4796062241
940292815438929921,1071500322
940292815438929921,15820966
940292815438929921,78573016
940292815438929921,592641409
940292815438929921,1303584765342289920
940292815438929921,214838303
940292815438929921,306483719
940292815438929921,1393175112
940292815438929921,231114338
940292815438929921,917658392289832960
940292815438929921,2902471995
940292815438929921,1357965919
940292815438929921,2558633642
940292815438929921,2561414672
940292815438929921,358205905
940292815438929921,1292660252
940292815438929921,3392427447
940292815438929921,418898601
940292815438929921,1189896455772922112
940292815438929921,468286576
940292815438929921,806914910
940292815438929921,252302169
940292815438929921,910732480860360832
940292815438929921,1065579556508192768
940292815438929921,1545520566
940292815438929921,136782476
940292815438929921,826408792841654272
940292815438929921,243387072
940292815438929921,1235168216961486848
940292815438929921,1129019806856953984
940292815438929921,2684698714
940292815438929921,3534669801
940292815438929921,123181087
940292815438929921,303110419
940292815438929921,905842922
940292815438929921,86292247
940292815438929921,3312351815
940292815438929921,236654908
940292815438929921,85181312
940292815438929921,103946337
940292815438929921,404936529
940292815438929921,997486208
940292815438929921,2401362512
940292815438929921,969584048
940292815438929921,135275600
940292815438929921,1261834381
940292815438929921,1026489297199874048
940292815438929921,556088690
940292815438929921,226897441
940292815438929921,2492821183
940292815438929921,830094660815220736
940292815438929921,121194033
940292815438929921,417095907
940292815438929921,430686714
940292815438929921,993066150341894016
940292815438929921,706450767021002752
940292815438929921,201632613
